,FlightNo.,Dateandtime(UTC),VersionBooster,Launchsite,Payload,Payloadmass,Orbit,Customer,Launchoutcome,Boosterlanding
180,178,5 October 2022,F9 B5B1077.1,"KSC,LC-39A",SpaceX Crew-5,"~13,000 kg",LEO(ISS),NASA(CTS),Success,Success(drone ship)
181,179,5 October 2022,F9 B5♺B1071.5,"VSFB,SLC-4E",Starlink,"~16,100 kg",LEO,SpaceX,Success,Success(drone ship)
182,180,8 October 2022,F9 B5♺B1060.14,"CCSFS,SLC-40",List of Intelsat satellites,"7,350 kg",GTO[398],Intelsat,Success,Success(drone ship)
183,181,15 October 2022,F9 B5♺B1069.3,"CCSFS,SLC-40",Hotbird 13F,"~4,501 kg",GTO,Eutelsat,Success,Success(drone ship)
184,182,20 October 2022,F9 B5♺B1062.10,"CCSFS,SLC-40",Starlink,"~16,700 kg",LEO,SpaceX,Success,Success(drone ship)
185,183,28 October 2022,F9 B5♺B1063.8,"VSFB,SLC-4E",Starlink,"~16,400 kg",LEO,SpaceX,Success,Success(drone ship)
186,FH 4,1 November 2022,Falcon Heavy B5B1066 (core),"KSC,LC-39A",United States Space Force,"~3,750 kg",GEO,"USSF,Millennium Space SystemsandLockheed Martin Space",Success,No attempt
187,184,3 November 2022,F9 B5♺B1067.7,"CCSFS,SLC-40",Hotbird 13G,"~4,500 kg",GTO,Eutelsat,Success,Success(drone ship)
188,185,12 November 2022,F9 B5♺B1051.14,"CCSFS,SLC-40",List of Intelsat satellites,"~6,600 kg",GTO,Intelsat,Success,No attempt
189,186,23 November 2022,F9 B5♺B1049.11,"CCSFS,SLC-40",Eutelsat,"5,500 kg",GTO,Eutelsat,Success,No attempt
190,187,26 November 2022,F9 B5B1076.1,"KSC,LC-39A",SpaceX CRS-26,"3,528 kg",LEO(ISS),NASA(CRS),Success,Success(drone ship)
191,188,8 December 2022,F9 B5♺B1069.4,"KSC,LC-39A",OneWeb satellite constellation,"6,000 kg",PolarLEO,OneWeb,Success,Success(ground pad)
192,189,11 December 2022,F9 B5♺B1073.5,"CCSFS,SLC-40",Hakuto-R,"~1,000 kg",Ballistic lunar transfer (BLT),ispaceMBRSCJAXANASA,Success,Success(ground pad)
193,190,16 December 2022,F9 B5♺B1071.6,"VSFB,SLC-4E",Surface Water and Ocean Topography,"~2,200 kg",LEO,NASA/CNES,Success,Success(ground pad)
194,191,16 December 2022,F9 B5♺B1067.8,"CCSFS,SLC-40",O3b mPOWER,"~4,100 kg",MEO,SES,Success,Success(drone ship)
195,192,17 December 2022,F9 B5♺B1058.15,"KSC,LC-39A",Starlink,"~16,700 kg",LEO,SpaceX,Success,Success(drone ship)
196,193,28 December 2022,F9 B5♺B1062.11,"CCSFS,SLC-40",Starlink,"~16,700 kg",LEO,SpaceX,Success,Success(drone ship)
197,194,30 December 2022,F9 B5♺B1061.11,"VSFB,SLC-4E",EROS (satellite),~400 kg,RetrogradeLEO,ImageSat International,Success,Success(ground pad)
198,195,3 January 2023,F9 B5♺B1060.15,"CCSFS,SLC-40",List of spaceflight launches in January–June 2023,U,SSO,Various,Success,Success(ground pad)
199,196,10 January 2023,F9 B5♺B1076.2,"CCSFS,SLC-40",OneWeb satellite constellation,"6,000 kg",PolarLEO,OneWeb,Success,Success(ground pad)
200,FH 5,15 January 2023,Falcon Heavy B5B1070 (core),"KSC,LC-39A",List of spaceflight launches in January–June 2023,"~3,750 kg",GEO,USSF,Success,No attempt
201,197,18 January 2023,F9 B5♺B1077.2,"CCSFS,SLC-40",GPS Block III,"4,352 kg",MEO,USSF,Success,Success(drone ship)
202,198,19 January 2023,F9 B5B1075.1,"VSFB,SLC-4E",Starlink,"15,800 kg",LEO,SpaceX,Success,Success(drone ship)
203,199,26 January 2023,F9 B5♺B1067.9,"CCSFS,SLC-40",Starlink,">17,400 kg",LEO,SpaceX,Success,Success(drone ship)
204,200,31 January 2023,F9 B5♺B1071.7,"VSFB,SLC-4E",Starlink,">15,200 kg",LEO,SpaceXD-Orbit,Success,Success(drone ship)
205,201,2 February 2023,F9 B5♺B1069.5,"KSC,LC-39A",Starlink,"16,500 kg",LEO,SpaceX,Success,Success(drone ship)
206,202,7 February 2023,F9 B5♺B1073.6,"CCSFS,SLC-40",Hispasat,"4,146 kg",GTO,Hispasat,Success,Success(drone ship)
207,203,12 February 202305:10[479],F9 B5♺B1062.12,"CCSFS,SLC-40",Starlink,"17,100 kg",LEO,SpaceX,Success,Success(drone ship)
208,204,17 February 2023,F9 B5♺B1063.9,"VSFB,SLC-4E",Starlink,"15,900 kg",LEO,SpaceX,Success,Success(drone ship)
209,205,18 February 2023,F9 B5♺B1077.3,"CCSFS,SLC-40[486]",Inmarsat,"5,470 kg",GTO,Inmarsat,Success,Success(drone ship)
210,206,27 February 2023,F9 B5♺B1076.3,"CCSFS,SLC-40",Starlink,"~16,900 kg",LEO,SpaceX,Success,Success(drone ship)
211,207,2 March 2023,F9 B5B1078.1,"KSC,LC-39A",SpaceX Crew-6,"~13,000 kg",LEO(ISS),NASA(CTS),Success,Success(drone ship)
212,208,3 March 2023,F9 B5♺B1061.12,"VSFB,SLC-4E",Starlink,"15,900 kg",LEO,SpaceX,Success,Success(drone ship)
